"city (STRING)","areaCode (STRING)","country (STRING)","region (STRING)","locId (STRING)","longitude (STRING)","postalCode (STRING)","metroCode (STRING)","latitude (STRING)","author (STRING)","year (STRING)","month (STRING)","day (STRING)","hour (STRING)","minute (STRING)","text (STRING)","hashtags (STRING)","search_term (STRING)","id (STRING)"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","LulTerri_B","2013","3","17","3","30","* doesn't give a fuck *","","fuck","-5909796489321516604"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Kid_INS","2013","3","17","3","29","And being on some old ""Didn't wanna bother shit"" What the fuck ever","","fuck","5693023018875325784"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Kid_INS","2013","3","17","3","29","You're not even in my mind anymore like go fuck with someone else's head.","","fuck","-2512468312099718466"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","MzKaTrinaJay","2013","3","17","3","14","Maaaaaaaaaan what the fuckin fuck!?  You gotta be kidding me","","fuck","8936568896419209373"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Zer0Skye","2013","3","17","3","13","Well I mean they're cyborgs, not robots, but what the fuck ever","","fuck","4526946296769489132"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","llamarmy","2013","3","17","3","2","RT @danhowls: WHY CANT VIDCON BE IN HOUSTON UGH PLANE TICKETS COST 3000 DOLLARS AND THREE TICKETS COST 400 FUCK MY LIFE I JUST WANT TO MEET DAN AND PHIL","","fuck","36826701063683386"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","danhowls","2013","3","17","3","0","WHY CANT VIDCON BE IN HOUSTON UGH PLANE TICKETS COST 3000 DOLLARS AND THREE TICKETS COST 400 FUCK MY LIFE I JUST WANT TO MEET DAN AND PHIL","","fuck","-364291465664948535"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","MzKaTrinaJay","2013","3","17","2","41","Fuck all y'all RT @mslee1223: This what we on! http://t.co/WK9oOuCGLy","","fuck","2671302521913566691"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","LiRi_D0NA","2013","3","17","2","32","Who da fuck is @sex_Cruz355 keeps retweeting my shyt creat","","fuck","-8257443116779799442"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","KiLLAWHALE_FNF","2013","3","17","2","22","@CashisClay_FnF fuck ya old tweets nigggaaa !","","fuck","-7401696754743114919"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Somer_x33","2013","3","17","2","15","RT @RealKiddSmyllz: Yeah I'm cocky but guess what ""I Don't Give A Fuck"" (smokey voice)","","fuck","4148093565213085133"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","TheWordIsBurd","2013","3","17","2","13","@EskEagles21 fuck all brotha. Watching bad boys 2","","fuck","2381488648469097444"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","scrapdadon","2013","3","17","2","3","“@BrownSugarJae: Sheesh RT @scrapdadon: Fuck a hooker fuck head baby momma” yup Idc","","fuck","-6917506787804267418"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","scrapdadon","2013","3","17","1","57","Fuck a hooker fuck head baby momma","","fuck","4746467928860352265"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","DaytonRockRadio","2013","3","17","18","22","RT @upthepucx: Here are the photos from today that I'm happiest with.  Feel free to use.  No credit necessary.  Fuck copyright. http://t.co/msg3rN1jjm","","fuck","1220826604459298473"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","CHIEFFE_v2","2013","3","17","18","22","You don't...wanna fuck wit shady...why...cuz shady...will fuckin kill you @Eminem #BestWhiteRapperEver #Period","#BestWhiteRapperEver|#Period","fuck","1559302654688712202"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","jwaggs83","2013","3","17","18","22","Fuck play in games... #JMtrUUUU","#JMtrUUUU","fuck","-2856129537245433530"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","_SafeHaven","2013","3","17","18","21","fuck, VCU!","","fuck","3830523260685706970"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","mollybarbato","2013","3","17","18","21","RT @AStateOfChern: Major Lazer. HOLY FUCK.","","fuck","2588738805335555193"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","J_pow219","2013","3","17","18","21","@mattcanofari kinda, few patches don't get hair lol but I don't give a fuck what other ppl think about it","","fuck","8423463283298002532"
